GEOID,CensusTract,State,County,Urban,Pop2010,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_Vehicle
04013104802,04013104802,Arizona,Maricopa County,1,5688,0,4.22982023264011,96607.0,0,0,0
04013104900,04013104900,Arizona,Maricopa County,1,4003,0,7.91415157612341,89055.0,0,0,0
04013105002,04013105002,Arizona,Maricopa County,1,2574,0,4.349258649093899,250001.0,0,0,0
04013105003,04013105003,Arizona,Maricopa County,1,4549,0,6.78800856531049,250001.0,0,0,0
04013105004,04013105004,Arizona,Maricopa County,1,3114,0,3.4616449736915,250001.0,0,0,0
04013105101,04013105101,Arizona,Maricopa County,1,4417,0,4.68786808009423,155559.0,0,0,0
04013105102,04013105102,Arizona,Maricopa County,1,4165,0,7.58465011286682,116512.0,0,0,0
04013105103,04013105103,Arizona,Maricopa County,1,3017,0,6.10932475884244,195556.0,0,0,0
04013105200,04013105200,Arizona,Maricopa County,1,5819,0,15.7730673316708,70489.0,0,0,0
04013105300,04013105300,Arizona,Maricopa County,1,4995,1,22.768959435626098,78074.0,0,1,0
04013105400,04013105400,Arizona,Maricopa County,1,3603,0,14.257228315054801,115461.0,0,0,0
04013105501,04013105501,Arizona,Maricopa County,1,2355,1,32.2933549432739,33482.0,0,1,0
04013105502,04013105502,Arizona,Maricopa County,1,1891,1,36.9373776908023,34405.0,0,0,0
04013105503,04013105503,Arizona,Maricopa County,1,3279,1,27.267492081773696,31825.0,0,0,0
04013105601,04013105601,Arizona,Maricopa County,1,3791,1,37.1687429218573,34375.0,0,1,0
04013105602,04013105602,Arizona,Maricopa County,1,5943,1,39.2064979693846,31699.0,0,1,1
04013105701,04013105701,Arizona,Maricopa County,1,3426,1,18.9634511683643,54536.0,0,1,0
04013105702,04013105702,Arizona,Maricopa County,1,3775,1,19.6847038772902,54579.0,0,1,1
04013105800,04013105800,Arizona,Maricopa County,1,6298,1,21.2968217934166,62917.0,0,1,0
04013105900,04013105900,Arizona,Maricopa County,1,4956,1,25.870942201108498,43702.0,0,1,1
04013106001,04013106001,Arizona,Maricopa County,1,1671,1,33.918459796149506,40688.0,0,1,0
04013106002,04013106002,Arizona,Maricopa County,1,2248,1,26.473859844271402,33500.0,0,0,0
04013106003,04013106003,Arizona,Maricopa County,1,3175,1,14.3998063891578,40882.0,0,1,0
04013106100,04013106100,Arizona,Maricopa County,1,5282,0,7.784881534411429,98629.0,0,0,0
04013106200,04013106200,Arizona,Maricopa County,1,3285,0,2.1739130434782603,165625.0,0,0,0
04013106300,04013106300,Arizona,Maricopa County,1,5093,0,11.263677322463,110030.0,0,0,0
04013106400,04013106400,Arizona,Maricopa County,1,2732,0,8.91089108910891,90766.0,0,0,0
04013106501,04013106501,Arizona,Maricopa County,1,2877,0,17.3654568210263,67105.0,0,0,0
04013106502,04013106502,Arizona,Maricopa County,1,3542,0,10.8437228182082,70944.0,0,0,0
04013106600,04013106600,Arizona,Maricopa County,1,3607,0,8.08080808080808,141486.0,0,0,0
04013106701,04013106701,Arizona,Maricopa County,1,3961,1,43.5005574136009,31159.0,0,0,0
04013106702,04013106702,Arizona,Maricopa County,1,1213,0,12.112472963230001,85357.0,0,0,0
